name,mass_msun_somers,mass_spotless_msun,teff_k,lstar_lsun,log_macc,log_lacc,radius_au,dist_pc,reference,category,mass_calibration,spot_coverage_fraction,mass_msun,mass_kg,lacc_w,power_density_w_per_kg
Sz100,0.1512546448087432,0.13,3057,0.106,-9.614,-3.33,41.08,158.5,"Alcala+14,17,19",young_stellar_objects,somers_2020_spots,0.17,0.1512546448087432,3.007653235628416e+29,1.7904901208473945e+23,5.953113542603229e-07
J160828.1-391310,0.0814448087431694,0.07,2935,0.046,-11.32,-5.01,169.79,,,young_stellar_objects,somers_2020_spots,0.17,0.0814448087431694,1.6195055884153006e+29,3.740864081818845e+21,2.3098803169177765e-08
Sz103,0.2245549726775956,0.193,3270,0.116,-9.251,-2.6,14.1435,157.15,"Alcala+14,17,19",young_stellar_objects,somers_2020_spots,0.17,0.2245549726775956,4.465208265202186e+29,9.61550125981867e+23,2.1534272734271394e-06
J16083070-3828268,1.627732677595629,1.399,4900,1.884,-9.2,-2.02,90.06,158.5,"Alcala+14,17,19",young_stellar_objects,somers_2020_spots,0.17,1.627732677595629,3.23669759741858e+30,3.6557116192900566e+24,1.129457266012636e-06
Sz104,0.1256577049180328,0.108,3125,0.065,-9.844,-3.36,41.5506,159.81,"Alcala+14,17,19",young_stellar_objects,somers_2020_spots,0.17,0.1256577049180328,2.4986657649836068e+29,1.6709826058153558e+23,6.687499501664317e-07
V1094Sco,0.8540069945355192,0.734,4205,1.21,-7.88,-1.03,158.0,,,young_stellar_objects,somers_2020_spots,0.17,0.8540069945355192,1.6981672884240438e+30,3.5724974634508814e+25,2.103737062775646e-05
Sz106,0.6410869945355192,0.551,3777,0.057,-10.09,-2.68,158.71,,,young_stellar_objects,somers_2020_spots,0.17,0.6410869945355192,1.274782256024044e+30,7.99782558890926e+23,6.273875833394414e-07
Sz108B,0.1442736612021858,0.124,3125,0.1,-9.512,-3.05,161.22,,,young_stellar_objects,somers_2020_spots,0.17,0.1442736612021858,2.868838470907104e+29,3.411708591175979e+23,1.1892299360086397e-06
J16084940-3905393,0.2199009836065574,0.189,3270,0.151,-9.666,-3.1,121.7444,160.19,"Alcala+14,17,19",young_stellar_objects,somers_2020_spots,0.17,0.2199009836065574,4.3726650887213124e+29,3.040688482524549e+23,6.953856334361363e-07
Sz110,0.2199009836065574,0.189,3270,0.175,-8.751,-2.2,15.749,157.49,"Alcala+14,17,19",young_stellar_objects,somers_2020_spots,0.17,0.2199009836065574,4.3726650887213124e+29,2.415304714670179e+24,5.523644426599524e-06
J16085324-3914401,0.3385777049180328,0.291,3415,0.198,-10.03,-3.25,13.04,163.0,"Alcala+14,17,19",young_stellar_objects,somers_2020_spots,0.17,0.3385777049180328,6.732516088983607e+29,2.1526425928286563e+23,3.1973820253486183e-07
J16085373-3914367,0.0791178142076503,0.068,3060,0.003,-10.81,-3.7,25.2824,148.72,"Alcala+14,17,19",young_stellar_objects,somers_2020_spots,0.17,0.0791178142076503,1.5732340001748638e+29,7.637864141700867e+22,4.854881181599129e-07
