sub_realm,group,system,mass_kg,er_w,power_density_w_per_kg,comments,reference,segment,color,data_source
ii) eukaryotes,whole plants/trees: darkness,lower,0.01,0.0106,1.06,lower whole body mass in g; lower basal metabolic rate in darkness in kJ/hr as ERin calculated via fitted equation,"F.J. Ballesteros et al., “On the thermodynamic origin of metabolic scaling”, Sci. Rep., 8 (2018) 1448.",Multicellular,#588B5C,van Duin (2024)
ii) eukaryotes,whole plants/trees: darkness,upper,4710.0,454.0,0.0964,upper whole body mass in g; upper basal metabolic rate in darkness in kJ/hr as ERin calculated via fitted equation,    ,Multicellular,#588B5C,van Duin (2024)
ii) eukaryotes,sugar cane varieties,during photosynthesis,1.88,7.14,3.79,"stalk weight as mass; maximum photosynthetic rate in ug CO2 per hour per plant converted to ERin using 10,6 J/ug CO2","J.E. Irvine, “Photosynthesis in sugarcane varieties under field conditions”, Crop Sci., 7 (1967) 297.",Multicellular,#588B5C,van Duin (2024)
ii) eukaryotes,sugar cane varieties,,1.42,3.9,2.75,,,Multicellular,#588B5C,van Duin (2024)
ii) eukaryotes,sugar cane varieties,,1.45,3.62,2.49,,,Multicellular,#588B5C,van Duin (2024)
ii) eukaryotes,sugar cane varieties,,1.27,3.41,2.69,,,Multicellular,#588B5C,van Duin (2024)
ii) eukaryotes,sugar cane varieties,,1.59,2.85,1.79,,,Multicellular,#588B5C,van Duin (2024)
ii) eukaryotes,sugar cane varieties,,1.23,2.82,2.3,,,Multicellular,#588B5C,van Duin (2024)
ii) eukaryotes,sugar cane varieties,,1.49,2.76,1.85,,,Multicellular,#588B5C,van Duin (2024)
ii) eukaryotes,sugar cane varieties,,1.17,2.7,2.31,,,Multicellular,#588B5C,van Duin (2024)
ii) eukaryotes,sugar cane varieties,,1.52,2.41,1.58,,,Multicellular,#588B5C,van Duin (2024)
ii) eukaryotes,sugar cane varieties,,0.794,2.29,2.89,,,Multicellular,#588B5C,van Duin (2024)
i) archaea,Archaea: EMR,lower,1.1e-16,1.87e-15,17.0,"lower wet cell mass in pg with some original data for dry mass have been converted to wet mass by multiplying with 5; lower, endogenous ERin calculated by multiplying lower, endogenous metabolic rate in W/kg wet mass by mass in pg","A.M. Makarieva, V.G. Gorshkov and B-L. Li, “Energetics of the smallest: Do bacteria breathe at the same rate as whale ?”, Proc. R. Soc. B, 272 (2005) 2219",Prokaryotes,#946B3A,van Duin (2024)
i) archaea,Archaea: EMR,upper,1e-15,1e-14,10.0,"upper wet cell mass in pg with some original data for dry mass have been converted to wet mass by multiplying with 5; upper, endogenous ERin calculated by multiplying upper, endogenous metabolic rate in W/kg wet mass by mass in pg",   ,Prokaryotes,#946B3A,van Duin (2024)
