name,category,track,mass_kg,mass_msun,mdot_kg_s,radius_m,eta,luminosity_w,power_density_w_per_kg,phi_source,mass_kg_err,power_density_w_per_kg_lo,power_density_w_per_kg_hi,dubus_table
EM Cyg,cataclysmic_variables,nuclear,1.98847e+30,1.0,1050000000000000.0,7652700.0,0.007,6.605850563715609e+29,0.3322077056086141,computed_from_mdot,1.1930819999999999e+29,0.14923975993199196,0.5385332613716135,A2
ER UMa,cataclysmic_variables,gravitational,1.4515831e+30,0.73,90000000000000.0,8499115.577348888,,1.858026368e+27,0.00128,tabulated_erd,,,,
ER UMa,cataclysmic_variables,nuclear,1.4515831e+30,0.73,90000000000000.0,8499115.577348888,0.007,5.662157626041951e+28,0.03900677560962201,computed_from_mdot,3.181552e+29,0.021329547711628517,0.0666080612749101,A2
ES Dra,cataclysmic_variables,gravitational,1.1533126e+30,0.58,50000000000000.0,9176393.402510395,,1.0322147769999999e+27,0.0008949999999999999,tabulated_erd,,,,
ES Dra,cataclysmic_variables,nuclear,1.1533126e+30,0.58,50000000000000.0,9176393.402510395,0.007,3.1456431255788614e+28,0.027274852677226118,computed_from_mdot,2.3861639999999997e+29,0.0090396654587378,0.055024050618403986,A2
EY Cyg,cataclysmic_variables,gravitational,2.1873170000000002e+30,1.1,16500000000000.0,7413394.76118531,,3.41221452e+26,0.000156,tabulated_erd,,,,
EY Cyg,cataclysmic_variables,nuclear,2.1873170000000002e+30,1.1,16500000000000.0,7413394.76118531,0.007,1.0380622314410243e+28,0.004745824365837344,computed_from_mdot,1.789623e+29,0.003988087702384323,0.005638603206935458,A2
EZ Lyn,cataclysmic_variables,gravitational,1.4913525e+30,0.75,250000000000.0,8422886.219205303,,5.160079649999999e+24,3.4599999999999995e-06,tabulated_erd,,,,
EZ Lyn,cataclysmic_variables,nuclear,1.4913525e+30,0.75,250000000000.0,8422886.219205303,0.007,1.572821562789431e+26,0.00010546276368527433,computed_from_mdot,2.982705e+29,4.218510547410973e-05,0.00020037925100202124,A2
FH Lyn,cataclysmic_variables,gravitational,1.4913525e+30,0.75,11000000000000.0,8422886.219205303,,2.2668557999999998e+26,0.00015199999999999998,tabulated_erd,,,,
FH Lyn,cataclysmic_variables,nuclear,1.4913525e+30,0.75,11000000000000.0,8422886.219205303,0.007,6.920414876273496e+27,0.00464036160215207,computed_from_mdot,1.789623e+29,0.0011299581823422248,0.009108147772819148,A2
FO And,cataclysmic_variables,gravitational,1.4913525e+30,0.75,33000000000000.0,8422886.219205303,,6.815480925e+26,0.00045700000000000005,tabulated_erd,,,,
FO And,cataclysmic_variables,nuclear,1.4913525e+30,0.75,33000000000000.0,8422886.219205303,0.007,2.0761244628820486e+28,0.013921084806456211,computed_from_mdot,2.982705e+29,0.00667930836673404,0.024783749466039468,A2
