name,domain,segment,mass_kg,power_density_w_per_kg,luminosity_w,mdot_kg_s,mass_msun,radius_m,eta,track,phi_source,mass_kg_err,power_density_w_per_kg_lo,power_density_w_per_kg_hi,reference,data_source
SV CMi,cataclysmic_variables,,1.4913525e+30,0.0316388291055823,4.718464688368292e+28,75000000000000.0,0.75,8422886.219205303,0.007,nuclear,computed_from_mdot,2.982705e+29,0.010546276368527433,0.0632776582111646,,Vidal (2020) compact-object tables
SW UMa,cataclysmic_variables,,1.4118136999999998e+30,0.004010555802116066,5.66215762604195e+27,9000000000000.0,0.7099999999999999,8578181.657944106,0.007,nuclear,computed_from_mdot,4.374634e+29,0.0017010123175044247,0.008393975068827957,,Vidal (2020) compact-object tables
SX LMi,cataclysmic_variables,,1.3322749000000001e+30,0.0015111082557890052,2.0132116003704714e+27,3200000000000.0,0.67,8745602.905229848,0.007,nuclear,computed_from_mdot,2.5850110000000002e+29,0.0005536795093476902,0.002929521213479842,,Vidal (2020) compact-object tables
SY Cnc,cataclysmic_variables,,1.4913525e+30,0.632776582111646,9.436929376736585e+29,1500000000000000.0,0.75,8422886.219205303,0.007,nuclear,computed_from_mdot,1.1930819999999999e+29,0.1953014142319895,1.1463343878834167,,Vidal (2020) compact-object tables
TT Crt,cataclysmic_variables,,1.98847e+30,0.006485959966644372,1.2897136814873333e+28,20500000000000.0,1.0,7652700.0,0.007,nuclear,computed_from_mdot,3.97694e+29,0.0031638829105582298,0.011469075550773583,,Vidal (2020) compact-object tables
TW Tri,cataclysmic_variables,,1.4913525e+30,0.04851287129522619,7.234979188831382e+28,115000000000000.0,0.75,8422886.219205303,0.007,nuclear,computed_from_mdot,2.982705e+29,0.014061701824703243,0.10018962550101061,,Vidal (2020) compact-object tables
TW Vir,cataclysmic_variables,,1.8095077e+30,0.01216878042522396,2.201950187905203e+28,35000000000000.0,0.91,7897098.550337738,0.007,nuclear,computed_from_mdot,4.971175e+29,0.005454970535445223,0.02396880992847144,,Vidal (2020) compact-object tables
TY PsA,cataclysmic_variables,,1.7299689e+30,0.005454970535445224,9.436929376736585e+27,15000000000000.0,0.87,8016318.0131681375,0.007,nuclear,computed_from_mdot,3.380399e+29,0.0024337560850447915,0.009943632004611578,,Vidal (2020) compact-object tables
TY Psc,cataclysmic_variables,,1.391929e+30,0.0180793309174756,2.516514500463089e+28,40000000000000.0,0.7,8618837.154670784,0.007,nuclear,computed_from_mdot,2.7838580000000004e+29,0.007533054548948166,0.03389874547026675,,Vidal (2020) compact-object tables
TZ Per,cataclysmic_variables,,1.4913525e+30,0.316388291055823,4.718464688368292e+29,750000000000000.0,0.75,8422886.219205303,0.007,nuclear,computed_from_mdot,2.982705e+29,0.07030850912351622,0.6855079639542833,,Vidal (2020) compact-object tables
U Gem,cataclysmic_variables,,2.3265098999999998e+30,0.01216878042522396,2.8310788130209753e+28,45000000000000.0,1.17,7262498.704597029,0.007,nuclear,computed_from_mdot,2.982705e+29,0.009587523971388574,0.015509229953716815,,Vidal (2020) compact-object tables
UY Pup,cataclysmic_variables,,1.4913525e+30,0.04851287129522619,7.234979188831382e+28,115000000000000.0,0.75,8422886.219205303,0.007,nuclear,computed_from_mdot,9.94235e+28,0.03954853638197787,0.05875782548179571,,Vidal (2020) compact-object tables
V1159 Ori,cataclysmic_variables,,1.4316984e+30,0.03735139547186799,5.3475933134840645e+28,85000000000000.0,0.72,8538282.561823031,0.007,nuclear,computed_from_mdot,3.181552e+29,0.010785964467812149,0.07909707276395574,,Vidal (2020) compact-object tables
V1316 Cyg,cataclysmic_variables,,1.4316984e+30,0.11425132732571386,1.635734425301008e+29,260000000000000.0,0.72,8538282.561823031,0.007,nuclear,computed_from_mdot,2.7838580000000004e+29,0.025752535318497218,0.24547367409503512,,Vidal (2020) compact-object tables
V1454 Cyg,cataclysmic_variables,,1.4913525e+30,2.3201808010760355e-05,3.460207438136748e+25,55000000000.0,0.75,8422886.219205303,0.007,nuclear,computed_from_mdot,2.982705e+29,1.0546276368527432e-05,4.2185105474109735e-05,,Vidal (2020) compact-object tables
V1504 Cyg,cataclysmic_variables,,1.3322749000000001e+30,0.004013881304439545,5.347593313484065e+27,8500000000000.0,0.67,8745602.905229848,0.007,nuclear,computed_from_mdot,9.94235e+28,0.0030759972741538338,0.005103036952513273,,Vidal (2020) compact-object tables
V342 Cam,cataclysmic_variables,,1.4913525e+30,0.0005062212656893167,7.549543501389267e+26,1200000000000.0,0.75,8422886.219205303,0.007,nuclear,computed_from_mdot,2.982705e+29,0.00017577127280879053,0.001001896255010106,,Vidal (2020) compact-object tables
V355 UMa,cataclysmic_variables,,1.4913525e+30,0.002320180801076035,3.460207438136748e+27,5500000000000.0,0.75,8422886.219205303,0.007,nuclear,computed_from_mdot,2.982705e+29,0.0007030850912351622,0.004745824365837345,,Vidal (2020) compact-object tables
V392 Hya,cataclysmic_variables,,1.4913525e+30,0.05484063711634265,8.17867212650504e+28,130000000000000.0,0.75,8422886.219205303,0.007,nuclear,computed_from_mdot,1.789623e+29,0.018832636372370416,0.10066900169958005,,Vidal (2020) compact-object tables
V426 Oph,cataclysmic_variables,,1.789623e+30,0.01933484000896696,3.460207438136748e+28,55000000000000.0,0.9,7926239.399437698,0.007,nuclear,computed_from_mdot,3.778093e+29,0.011610579488287084,0.03119321179423606,,Vidal (2020) compact-object tables
V478 Her,cataclysmic_variables,,1.4913525e+30,0.08437021094821946,1.2582572502315446e+29,200000000000000.0,0.75,8422886.219205303,0.007,nuclear,computed_from_mdot,2.982705e+29,0.021092552737054862,0.17928669826496635,,Vidal (2020) compact-object tables
V503 Cyg,cataclysmic_variables,,1.4515831e+30,0.014519188699137082,2.107580894137837e+28,33500000000000.0,0.73,8499115.577348888,0.007,nuclear,computed_from_mdot,2.982705e+29,0.004314385787124859,0.030002337944948734,,Vidal (2020) compact-object tables
V513 Peg,cataclysmic_variables,,1.4913525e+30,0.009702574259045239,1.4469958377662764e+28,23000000000000.0,0.75,8422886.219205303,0.007,nuclear,computed_from_mdot,2.982705e+29,0.0031638829105582298,0.019510611281775753,,Vidal (2020) compact-object tables
V516 Cyg,cataclysmic_variables,,1.4913525e+30,0.21092552737054865,3.1456431255788617e+29,500000000000000.0,0.75,8422886.219205303,0.007,nuclear,computed_from_mdot,2.982705e+29,0.03515425456175811,0.4745824365837345,,Vidal (2020) compact-object tables
V521 Peg,cataclysmic_variables,,1.4913525e+30,0.0014764786915938406,2.201950187905203e+27,3500000000000.0,0.75,8422886.219205303,0.007,nuclear,computed_from_mdot,2.982705e+29,0.0005273138184263716,0.002900226001345044,,Vidal (2020) compact-object tables
V537 Peg,cataclysmic_variables,,1.4913525e+30,0.04429436074781522,6.60585056371561e+28,105000000000000.0,0.75,8422886.219205303,0.007,nuclear,computed_from_mdot,2.982705e+29,0.01406170182470324,0.08964334913248317,,Vidal (2020) compact-object tables
V630 Cas,cataclysmic_variables,,2.0083547e+30,2.3494180028897746,4.7184646883682926e+30,7500000000000000.0,1.01,7627359.748238832,0.007,nuclear,computed_from_mdot,2.5850110000000002e+29,0.8326007659363763,4.314385787124859,,Vidal (2020) compact-object tables
V713 Cep,cataclysmic_variables,,1.4913525e+30,5.484063711634265e-05,8.17867212650504e+25,130000000000.0,0.75,8422886.219205303,0.007,nuclear,computed_from_mdot,2.982705e+29,2.4607978193230674e-05,0.00010018962550101062,,Vidal (2020) compact-object tables
V729 Sgr,cataclysmic_variables,,1.4913525e+30,0.008647946622192496,1.2897136814873333e+28,20500000000000.0,0.75,8422886.219205303,0.007,nuclear,computed_from_mdot,2.982705e+29,0.002812340364940649,0.017401356008070266,,Vidal (2020) compact-object tables
V792 Cyg,cataclysmic_variables,,1.4913525e+30,0.10757201895897982,1.6042779940452195e+29,255000000000000.0,0.75,8422886.219205303,0.007,nuclear,computed_from_mdot,2.982705e+29,0.028123403649406485,0.22674494192333983,,Vidal (2020) compact-object tables
V811 Cyg,cataclysmic_variables,,1.4913525e+30,0.008858872149563043,1.3211701127431219e+28,21000000000000.0,0.75,8422886.219205303,0.007,nuclear,computed_from_mdot,2.982705e+29,0.002812340364940648,0.017928669826496633,,Vidal (2020) compact-object tables
V844 Her,cataclysmic_variables,,9.146962e+29,0.007221906643665524,6.605850563715609e+27,10500000000000.0,0.46,9913539.574595995,0.007,nuclear,computed_from_mdot,1.789623e+29,0.004602011506266514,0.011116345361420806,,Vidal (2020) compact-object tables
V893 Sco,cataclysmic_variables,,1.7697383e+30,0.0026661934639535642,4.7184646883682925e+27,7500000000000.0,0.8900000000000001,7955815.193596856,0.007,nuclear,computed_from_mdot,3.579246e+29,0.000887069974922868,0.0053474077361547545,,Vidal (2020) compact-object tables
VW Hyi,cataclysmic_variables,,1.3322749000000001e+30,0.014638861227955987,1.9502987378588943e+28,31000000000000.0,0.67,8745602.905229848,0.007,nuclear,computed_from_mdot,4.374634e+29,0.007465341699069979,0.02882648874064164,,Vidal (2020) compact-object tables
VW Vul,cataclysmic_variables,,6.959645e+29,0.1762734764453871,1.226800818975756e+29,195000000000000.0,0.35,10859054.356785757,0.007,nuclear,computed_from_mdot,1.3919290000000002e+29,0.1054627636852743,0.2824895455855563,,Vidal (2020) compact-object tables
VZ Pyx,cataclysmic_variables,,1.590776e+30,0.00593228045729668,9.436929376736585e+27,15000000000000.0,0.8,8243621.176203499,0.007,nuclear,computed_from_mdot,3.181552e+29,0.003625282501681305,0.009392777390719744,,Vidal (2020) compact-object tables
WW Cet,cataclysmic_variables,,1.6504300999999998e+30,0.015247628484617977,2.516514500463089e+28,40000000000000.0,0.83,8143079.180132048,0.007,nuclear,computed_from_mdot,3.181552e+29,0.009587523971388576,0.02361106649670321,,Vidal (2020) compact-object tables
WX Hyi,cataclysmic_variables,,1.789623e+30,0.00650353709392525,1.1638879564641788e+28,18500000000000.0,0.9,7926239.399437698,0.007,nuclear,computed_from_mdot,5.96541e+29,0.0031638829105582306,0.01318284546065929,,Vidal (2020) compact-object tables
X Leo,cataclysmic_variables,,2.0481241e+30,0.016894520396184724,3.460207438136748e+28,55000000000000.0,1.03,7577668.697604476,0.007,nuclear,computed_from_mdot,4.175787e+29,0.010206073905026548,0.027008756553545864,,Vidal (2020) compact-object tables
YZ Cnc,cataclysmic_variables,,1.6305454e+30,0.017362772070136628,2.8310788130209753e+28,45000000000000.0,0.82,8176047.471567093,0.007,nuclear,computed_from_mdot,1.590776e+29,0.014061701824703244,0.021377587233501555,,Vidal (2020) compact-object tables
Z Cam,cataclysmic_variables,,1.9685853e+30,0.0767001917711086,1.5099087002778536e+29,240000000000000.0,0.99,7678380.393807681,0.007,nuclear,computed_from_mdot,2.982705e+29,0.03885470241036422,0.12806192733211882,,Vidal (2020) compact-object tables
AE Aqr,cataclysmic_variables,,1.2527361e+30,0.05524240002561989,6.920414876273496e+28,110000000000000.0,0.63,8926910.323505308,0.007,nuclear,computed_from_mdot,9.94235e+28,0.0418749208750354,0.07091461696078792,,Vidal (2020) compact-object tables
BG CMi,cataclysmic_variables,,1.590776e+30,0.07909707276395574,1.2582572502315446e+29,200000000000000.0,0.8,8243621.176203499,0.007,nuclear,computed_from_mdot,3.97694e+29,0.041130477837256985,0.14237473097512032,,Vidal (2020) compact-object tables
BK Lyn,cataclysmic_variables,,8.152727e+29,0.05015911931372804,4.08933606325252e+28,65000000000000.0,0.41,10301174.314367136,0.007,nuclear,computed_from_mdot,4.573481e+29,0.019774268190988938,0.15819414552791153,,Vidal (2020) compact-object tables
FO Aqr,cataclysmic_variables,,1.4913525e+30,0.3585733965299327,5.347593313484065e+29,850000000000000.0,0.75,8422886.219205303,0.007,nuclear,computed_from_mdot,2.982705e+29,0.1757712728087905,0.632776582111646,,Vidal (2020) compact-object tables
IX Vel,cataclysmic_variables,,1.6305454e+30,0.13504378276772933,2.2019501879052032e+29,350000000000000.0,0.82,8176047.471567093,0.007,nuclear,computed_from_mdot,2.7838580000000004e+29,0.09887134095494468,0.1861107594446018,,Vidal (2020) compact-object tables
LQ Peg,cataclysmic_variables,,1.4913525e+30,0.6116840293745911,9.122365064178698e+29,1450000000000000.0,0.75,8422886.219205303,0.007,nuclear,computed_from_mdot,2.982705e+29,0.10546276368527432,1.3710159279085663,,Vidal (2020) compact-object tables
MV Lyr,cataclysmic_variables,,1.4515831e+30,0.19503387804811007,2.8310788130209754e+29,450000000000000.0,0.73,8499115.577348888,0.007,nuclear,computed_from_mdot,1.98847e+29,0.15247628484617975,0.2511018182982722,,Vidal (2020) compact-object tables
RR Pic,cataclysmic_variables,,1.8890465e+30,3.3304030637455053,6.291286251157723e+30,1e+16,0.95,7784669.037536037,0.007,nuclear,computed_from_mdot,3.778093e+29,0.8326007659363763,7.077106510459199,,Vidal (2020) compact-object tables
RW Sex,cataclysmic_variables,,1.789623e+30,0.24607978193230676,4.4039003758104064e+29,700000000000000.0,0.9,7926239.399437698,0.007,nuclear,computed_from_mdot,9.94235e+28,0.1998241838247303,0.2977772151113628,,Vidal (2020) compact-object tables
RW Tri,cataclysmic_variables,,1.0936585000000001e+30,0.5752514382833145,6.291286251157723e+29,1000000000000000.0,0.55,9340292.110797748,0.007,nuclear,computed_from_mdot,2.982705e+29,0.31638829105582295,1.0282619459314246,,Vidal (2020) compact-object tables
TT Ari,cataclysmic_variables,,1.789623e+30,0.24607978193230676,4.4039003758104064e+29,700000000000000.0,0.9,7926239.399437698,0.007,nuclear,computed_from_mdot,3.579246e+29,0.1464760606739921,0.3954853638197787,,Vidal (2020) compact-object tables
TV Col,cataclysmic_variables,,1.4913525e+30,0.316388291055823,4.718464688368292e+29,750000000000000.0,0.75,8422886.219205303,0.007,nuclear,computed_from_mdot,2.982705e+29,0.1757712728087905,0.5273138184263716,,Vidal (2020) compact-object tables
TX Col,cataclysmic_variables,,1.0737738e+30,0.7030850912351622,7.549543501389268e+29,1200000000000000.0,0.54,9397595.949881762,0.007,nuclear,computed_from_mdot,1.98847e+29,0.148307011432417,1.5100350254937005,,Vidal (2020) compact-object tables
UX UMa,cataclysmic_variables,,1.789623e+30,0.14061701824703243,2.516514500463089e+29,400000000000000.0,0.9,7926239.399437698,0.007,nuclear,computed_from_mdot,5.96541e+29,0.05273138184263717,0.316388291055823,,Vidal (2020) compact-object tables
V1084 Her,cataclysmic_variables,,1.4913525e+30,0.16874042189643892,2.516514500463089e+29,400000000000000.0,0.75,8422886.219205303,0.007,nuclear,computed_from_mdot,2.982705e+29,0.10546276368527432,0.2636569092131858,,Vidal (2020) compact-object tables
V1223 Sgr,cataclysmic_variables,,1.8492771e+30,0.18711135492548672,3.460207438136748e+29,550000000000000.0,0.93,7840077.799281121,0.007,nuclear,computed_from_mdot,2.3861639999999997e+29,0.12052887278317068,0.2734219799247853,,Vidal (2020) compact-object tables
V3885 Sgr,cataclysmic_variables,,1.391929e+30,0.4745824365837345,6.605850563715609e+29,1050000000000000.0,0.7,8618837.154670784,0.007,nuclear,computed_from_mdot,2.7838580000000004e+29,0.18832636372370415,0.90396654587378,,Vidal (2020) compact-object tables
V592 Cas,cataclysmic_variables,,1.6106607e+30,0.37107268704078,5.976721938599837e+29,950000000000000.0,0.81,8209556.237301669,0.007,nuclear,computed_from_mdot,3.181552e+29,0.19570409756030285,0.6327765821116459,,Vidal (2020) compact-object tables
V603 Aql,cataclysmic_variables,,2.386164e+30,0.0632776582111646,1.5099087002778536e+29,240000000000000.0,1.2,7201466.418217846,0.007,nuclear,computed_from_mdot,3.97694e+29,0.0406784945643201,0.0949164873167469,,Vidal (2020) compact-object tables
V795 Her,cataclysmic_variables,,1.3720443e+30,2.1092552737054864,2.8939916755325524e+30,4600000000000000.0,0.69,8660274.50875726,0.007,nuclear,computed_from_mdot,2.7838580000000004e+29,0.3049525696923594,4.832112081579842,,Vidal (2020) compact-object tables
4U 0513-40,neutron_stars,,2.783858e+30,0.048299999999999996,1.3446034139999997e+29,14990272168986.234,1.4,12000.0,,gravitational,tabulated_erd,,,,,Vidal (2020) compact-object tables
EXO 0748-676,neutron_stars,,2.783858e+30,0.0203,5.651231739999999e+28,6301270229992.142,1.4,12000.0,,gravitational,tabulated_erd,,,,,Vidal (2020) compact-object tables
4U 0919-54,neutron_stars,,2.783858e+30,0.00878,2.4442273239999995e+28,2723642347643.674,1.4,12000.0,,gravitational,tabulated_erd,,,,,Vidal (2020) compact-object tables
4U 1608-52,neutron_stars,,2.783858e+30,0.0484,1.3473872719999998e+29,15008797347707.05,1.4,12000.0,,gravitational,tabulated_erd,,,,,Vidal (2020) compact-object tables
4U 1636-536,neutron_stars,,2.783858e+30,0.09999999999999999,2.7838579999999997e+29,31004470032575.355,1.4,12000.0,,gravitational,tabulated_erd,,,,,Vidal (2020) compact-object tables
MXB 1659-298,neutron_stars,,2.783858e+30,0.102,2.8395351599999996e+29,31520528582655.21,1.4,12000.0,,gravitational,tabulated_erd,,,,,Vidal (2020) compact-object tables
4U 1702-429,neutron_stars,,2.783858e+30,0.053,1.4754447399999999e+29,16426351584721.273,1.4,12000.0,,gravitational,tabulated_erd,,,,,Vidal (2020) compact-object tables
4U 1705-44,neutron_stars,,2.783858e+30,0.11499999999999999,3.201436699999999e+29,35582079500975.99,1.4,12000.0,,gravitational,tabulated_erd,,,,,Vidal (2020) compact-object tables
XTE J1710-28,neutron_stars,,2.783858e+30,0.0215,5.985294699999999e+28,6657785404149.872,1.4,12000.0,,gravitational,tabulated_erd,,,,,Vidal (2020) compact-object tables
4U 1724-307,neutron_stars,,2.783858e+30,0.0713,1.984890754e+29,22116795003422.312,1.4,12000.0,,gravitational,tabulated_erd,,,,,Vidal (2020) compact-object tables
4U 1728-34,neutron_stars,,2.783858e+30,0.11299999999999999,3.1457595399999996e+29,34980893343917.16,1.4,12000.0,,gravitational,tabulated_erd,,,,,Vidal (2020) compact-object tables
KS 1731-260,neutron_stars,,2.783858e+30,0.13999999999999999,3.8974011999999995e+29,43353770039229.85,1.4,12000.0,,gravitational,tabulated_erd,,,,,Vidal (2020) compact-object tables
4U 1735-44,neutron_stars,,2.783858e+30,0.29,8.073188199999999e+29,90031108366922.72,1.4,12000.0,,gravitational,tabulated_erd,,,,,Vidal (2020) compact-object tables
"SAX J1747,0-",neutron_stars,,2.783858e+30,0.12,3.3406296e+29,37270895283545.01,1.4,12000.0,,gravitational,tabulated_erd,,,,,Vidal (2020) compact-object tables
GX 3+1,neutron_stars,,2.783858e+30,0.375,1.0439467499999999e+30,116317958906887.73,1.4,12000.0,,gravitational,tabulated_erd,,,,,Vidal (2020) compact-object tables
"SAX J1748,9-",neutron_stars,,2.783858e+30,0.285,7.933995299999999e+29,88313433632468.89,1.4,12000.0,,gravitational,tabulated_erd,,,,,Vidal (2020) compact-object tables
EXO 1745-248,neutron_stars,,2.783858e+30,0.14300000000000002,3.98091694e+29,44203785892780.19,1.4,12000.0,,gravitational,tabulated_erd,,,,,Vidal (2020) compact-object tables
4U 1746-37,neutron_stars,,2.783858e+30,0.414,1.1525172119999998e+30,128496058537404.64,1.4,12000.0,,gravitational,tabulated_erd,,,,,Vidal (2020) compact-object tables
"SAX J1750,8-",neutron_stars,,2.783858e+30,0.111,3.0900823799999997e+29,34301510769196.645,1.4,12000.0,,gravitational,tabulated_erd,,,,,Vidal (2020) compact-object tables
GRS 1747-312,neutron_stars,,2.783858e+30,0.06559999999999999,1.8262108479999997e+29,20361502814219.082,1.4,12000.0,,gravitational,tabulated_erd,,,,,Vidal (2020) compact-object tables
"SAX J1808,4-",neutron_stars,,2.783858e+30,0.0291,8.10102678e+28,9010546112505.387,1.4,12000.0,,gravitational,tabulated_erd,,,,,Vidal (2020) compact-object tables
GX 17+2,neutron_stars,,2.783858e+30,3.11,8.657798379999999e+30,965218521085253.8,1.4,12000.0,,gravitational,tabulated_erd,,,,,Vidal (2020) compact-object tables
3A 1820-303,neutron_stars,,2.783858e+30,0.16199999999999998,4.509849959999999e+29,50262464496666.414,1.4,12000.0,,gravitational,tabulated_erd,,,,,Vidal (2020) compact-object tables
XB 1832-330,neutron_stars,,2.783858e+30,0.0224,6.23584192e+28,6962694723299.618,1.4,12000.0,,gravitational,tabulated_erd,,,,,Vidal (2020) compact-object tables
Ser X-1,neutron_stars,,2.783858e+30,0.6259999999999999,1.7426951079999996e+30,194253511806981.53,1.4,12000.0,,gravitational,tabulated_erd,,,,,Vidal (2020) compact-object tables
"HETE J1900,1",neutron_stars,,2.783858e+30,0.0191,5.317168779999999e+28,5938769028696.732,1.4,12000.0,,gravitational,tabulated_erd,,,,,Vidal (2020) compact-object tables
Aql X-1,neutron_stars,,2.783858e+30,0.07279999999999999,2.0266486239999995e+29,22582381893109.742,1.4,12000.0,,gravitational,tabulated_erd,,,,,Vidal (2020) compact-object tables
4U 1916-053,neutron_stars,,2.783858e+30,0.0385,1.07178533e+29,11947732101934.24,1.4,12000.0,,gravitational,tabulated_erd,,,,,Vidal (2020) compact-object tables
4U 2129+12,neutron_stars,,2.783858e+30,0.0195,5.428523099999999e+28,6061640112049.079,1.4,12000.0,,gravitational,tabulated_erd,,,,,Vidal (2020) compact-object tables
Cyg X-2,neutron_stars,,2.783858e+30,2.86,7.961833879999999e+30,886757458013283.8,1.4,12000.0,,gravitational,tabulated_erd,,,,,Vidal (2020) compact-object tables
GRO J0422+32,transient_black_holes,,7.8942259e+30,0.00191,1.5077971469e+28,1682388679747.5093,3.97,81476.90550000001,,gravitational,tabulated_erd,,,,,Vidal (2020) compact-object tables
A620-00,transient_black_holes,,2.187317e+31,0.0014,3.0622438e+28,3421487090273.025,11.0,225754.65,,gravitational,tabulated_erd,,,,,Vidal (2020) compact-object tables
GRS 1009-45,transient_black_holes,,7.755033e+30,0.0192,1.4889663359999998e+29,16571843549572.848,3.9,80040.28499999999,,gravitational,tabulated_erd,,,,,Vidal (2020) compact-object tables
XTE J1118+480,transient_black_holes,,1.6961649099999998e+31,0.00667,1.13134199497e+29,12602162395112.43,8.53,175062.46949999995,,gravitational,tabulated_erd,,,,,Vidal (2020) compact-object tables
GS 1124684,transient_black_holes,,1.4913525e+31,0.0126,1.87910415e+29,20982600387862.195,7.5,153923.625,,gravitational,tabulated_erd,,,,,Vidal (2020) compact-object tables
GS 135464,transient_black_holes,,1.14337025e+31,0.0808,9.238431620000001e+29,102707623520166.3,5.750000000000001,118008.11249999999,,gravitational,tabulated_erd,,,,,Vidal (2020) compact-object tables
4U 154347,transient_black_holes,,1.8691618e+31,0.0341,6.373841738e+29,71202217532385.23,9.4,192917.61000000002,,gravitational,tabulated_erd,,,,,Vidal (2020) compact-object tables
XTE J1550564,transient_black_holes,,2.0878934999999998e+31,0.043,8.977942049999998e+29,100187191041143.83,10.499999999999998,215493.07499999998,,gravitational,tabulated_erd,,,,,Vidal (2020) compact-object tables
XTE J1650500,transient_black_holes,,5.4285231e+30,0.011399999999999999,6.188516334e+28,6868178505336.274,2.73,56028.1995,,gravitational,tabulated_erd,,,,,Vidal (2020) compact-object tables
GRO J165540,transient_black_holes,,1.2527361e+31,0.0394,4.935780233999999e+29,55008438854665.76,6.3,129295.84499999999,,gravitational,tabulated_erd,,,,,Vidal (2020) compact-object tables
MAXI J1659352,transient_black_holes,,1.1533126e+31,0.00692,7.980923192e+28,8884524488554.264,5.8,119034.26999999999,,gravitational,tabulated_erd,,,,,Vidal (2020) compact-object tables
GX 3394,transient_black_holes,,1.0538891e+31,0.6809999999999999,7.176984770999999e+30,800237312089639.2,5.3,108772.69499999998,,gravitational,tabulated_erd,,,,,Vidal (2020) compact-object tables
4U 1705250,transient_black_holes,,9.405463100000001e+30,0.0176,1.6553615056e+29,18399157096864.15,4.73,97074.4995,,gravitational,tabulated_erd,,,,,Vidal (2020) compact-object tables
GRS 1915+105,transient_black_holes,,2.783858e+31,3.16,8.79699128e+31,9766675856212134.0,14.0,287324.1,,gravitational,tabulated_erd,,,,,Vidal (2020) compact-object tables
GS 2000+25,transient_black_holes,,1.9089312e+31,0.0019399999999999997,3.703326527999999e+28,4120907103201.7646,9.6,197022.24,,gravitational,tabulated_erd,,,,,Vidal (2020) compact-object tables
V404 Cyg,transient_black_holes,,2.386164e+31,0.022199999999999998,5.2972840799999994e+29,58978120009126.18,12.0,246277.8,,gravitational,tabulated_erd,,,,,Vidal (2020) compact-object tables
Cyg X-1,transient_black_holes,,2.9429356e+31,0.27099999999999996,7.975355475999999e+30,888452448855426.4,14.8,303742.62,,gravitational,tabulated_erd,,,,,Vidal (2020) compact-object tables
LMC X-1,transient_black_holes,,2.16942077e+31,1.72,3.7314037244e+31,4146111427991989.0,10.91,223907.5665,,gravitational,tabulated_erd,,,,,Vidal (2020) compact-object tables
LMC X-3,transient_black_holes,,2.2072017e+31,1.7,3.75224289e+31,4190218996374883.5,11.100000000000001,227806.96499999997,,gravitational,tabulated_erd,,,,,Vidal (2020) compact-object tables
3C 120,supermassive_black_holes,,1.0936585e+38,1.083217503808072,1.1846700303884805e+38,2.3124967995031308e+22,55000000.00000001,162433666013.6783,0.057,gravitational,computed_from_mdot,,,,,Vidal (2020) Table 5
NGC 3516,supermassive_black_holes,,8.4907669e+37,0.02281054542219425,1.9367902404171347e+36,3.780648718533729e+20,42700000.0,126107591614.2557,0.057,gravitational,computed_from_mdot,,,,,Vidal (2020) Table 5
NGC 3783,supermassive_black_holes,,5.8659865e+37,0.12656630880868344,7.424362588265681e+36,1.4492486754379293e+21,29500000.0,87123511770.9729,0.057,gravitational,computed_from_mdot,,,,,Vidal (2020) Table 5
NGC 4051,supermassive_black_holes,,3.7979777e+36,0.08499217186105534,3.2279837340285568e+35,6.301081197556215e+19,1910000.0,5640878219.747738,0.057,gravitational,computed_from_mdot,,,,,Vidal (2020) Table 5
NGC 4151,supermassive_black_holes,,2.6247804e+37,0.02459621943251753,6.4559674680571136e+35,1.260216239511243e+20,13200000.0,38984079843.28279,0.057,gravitational,computed_from_mdot,,,,,Vidal (2020) Table 5
Mrk 766,supermassive_black_holes,,6.8999909e+36,0.9824311277656859,6.778765841459969e+36,1.3232270514868052e+21,3470000.0,10248087655.772068,0.057,gravitational,computed_from_mdot,,,,,Vidal (2020) Table 5
MCG-6-30-15,supermassive_black_holes,,3.0821285e+36,1.2567874703583153,3.8735804808342693e+36,7.561297437067459e+20,1550000.0000000002,4577676042.203662,0.057,gravitational,computed_from_mdot,,,,,Vidal (2020) Table 5
Mrk 590,supermassive_black_holes,,9.524771299999999e+37,0.03727944740711426,3.5507821074314125e+36,6.931189317311836e+20,47899999.99999999,141464956401.00345,0.057,gravitational,computed_from_mdot,,,,,Vidal (2020) Table 5
Mrk 110,supermassive_black_holes,,4.9910597e+37,1.5392725691075115,7.682601286987966e+37,1.4996573250183791e+22,25100000.0,74128818489.87865,0.057,gravitational,computed_from_mdot,,,,,Vidal (2020) Table 5
NGC 4395,supermassive_black_holes,,7.2181461e+35,0.017888159587285478,1.291193493611423e+34,2.520432479022486e+18,363000.0,1072062195.6902769,0.057,gravitational,computed_from_mdot,,,,,Vidal (2020) Table 5
NGC 5506,supermassive_black_holes,,1.7319573699999998e+38,0.03168422296588366,5.487572347848547e+36,1.0711838035845566e+21,87099999.99999999,257235860178.0251,0.057,gravitational,computed_from_mdot,,,,,Vidal (2020) Table 5
NGC 5548,supermassive_black_holes,,1.34420572e+38,0.08404921137443122,1.129794306909995e+37,2.2053784191446756e+21,67600000.0,199645742227.72098,0.057,gravitational,computed_from_mdot,,,,,Vidal (2020) Table 5
Mrk 509,supermassive_black_holes,,2.8832815e+38,0.33698516913544363,9.716231039425956e+37,1.8966254404644207e+22,145000000.0,428234210399.6974,0.057,gravitational,computed_from_mdot,,,,,Vidal (2020) Table 5
