name,domain,segment,mass_kg,power_density_w_per_kg,luminosity_w,mdot_kg_s,mass_msun,radius_m,eta,track,phi_source,mass_kg_err,power_density_w_per_kg_lo,power_density_w_per_kg_hi,reference,data_source
Sz75,young_stellar_objects,,1.6542092795956286e+30,4.7247787499448223e-05,7.81577285219496e+25,,0.8319005464480875,,,,computed_from_lacc,,,,,Manara et al. (2022) PPVII
Sz76,young_stellar_objects,,4.3495292946010925e+29,2.4804453838883275e-06,1.0788769860880333e+24,,0.2187374863387978,,,,computed_from_lacc,,,,,Manara et al. (2022) PPVII
Sz77,young_stellar_objects,,1.617192009003279e+30,5.060697080527036e-06,8.184118878614546e+24,,0.8132845901639345,,,,computed_from_lacc,,,,,Manara et al. (2022) PPVII
Sz81A,young_stellar_objects,,4.3495292946010925e+29,3.195432653793441e-06,1.3898627936599482e+24,,0.2187374863387978,,,,computed_from_lacc,,,,,Manara et al. (2022) PPVII
Sz82,young_stellar_objects,,2.0081869296349728e+30,1.6988999085837706e-05,3.411708591175978e+25,,1.0099156284153006,,,,computed_from_lacc,,,,,Manara et al. (2022) PPVII
Sz83,young_stellar_objects,,1.4598686089857925e+30,0.0001474545434827968,2.1526425928286564e+26,,0.7341667759562842,,,,computed_from_lacc,,,,"Alcala+14,17,19",Manara et al. (2022) PPVII
Sz84,young_stellar_objects,,3.447233323912567e+29,2.320070861879412e-06,7.99782558890926e+23,,0.1733610928961748,,,,computed_from_lacc,,,,"Alcala+14,17,19",Manara et al. (2022) PPVII
Sz129,young_stellar_objects,,1.712048764896175e+30,1.657508630527825e-05,2.8377356036999132e+25,,0.8609879781420766,,,,computed_from_lacc,,,,"Alcala+14,17,19",Manara et al. (2022) PPVII
J15592523-4235066,young_stellar_objects,,1.9665425002185782e+29,7.400628305532917e-08,1.4553650091151084e+22,,0.0988972677595628,,,,computed_from_lacc,,,,,Manara et al. (2022) PPVII
RYLup,young_stellar_objects,,3.23669759741858e+30,1.6705897162368204e-05,5.407193720815904e+25,,1.627732677595629,,,,computed_from_lacc,,,,"Alcala+14,17,19",Manara et al. (2022) PPVII
J16000060-4221567,young_stellar_objects,,3.447233323912567e+29,1.012747663129451e-06,3.491177493054422e+23,,0.1733610928961748,,,,computed_from_lacc,,,,"Alcala+14,17,19",Manara et al. (2022) PPVII
J16000236-4222145,young_stellar_objects,,4.3726650887213124e+29,1.0525087474882022e-06,4.602268255715457e+23,,0.2199009836065574,,,,computed_from_lacc,,,,"Alcala+14,17,19",Manara et al. (2022) PPVII
J16002612-4153553,young_stellar_objects,,2.4986657649836068e+29,9.231319081637049e-07,2.3065980954926405e+23,,0.1256577049180328,,,,computed_from_lacc,,,,,Manara et al. (2022) PPVII
Sz130,young_stellar_objects,,9.115502883366121e+29,3.0422247578106315e-06,2.773140855167061e+24,,0.4584179234972678,,,,computed_from_lacc,,,,"Alcala+14,17,19",Manara et al. (2022) PPVII
MYLup,young_stellar_objects,,2.6999471738295083e+30,3.174071182394459e-05,8.569824518439604e+25,,1.35780131147541,,,,computed_from_lacc,,,,"Alcala+14,17,19",Manara et al. (2022) PPVII
Sz131,young_stellar_objects,,6.963874030185792e+29,2.512586503232685e-06,1.7497335898457424e+24,,0.3502126775956284,,,,computed_from_lacc,,,,"Alcala+14,17,19",Manara et al. (2022) PPVII
EXLup,young_stellar_objects,,1.318740264852459e+30,3.5711875796836255e-05,4.709468854669797e+25,,0.6631934426229509,,,,computed_from_lacc,,,,,Manara et al. (2022) PPVII
Sz88A,young_stellar_objects,,1.5107673560502734e+30,1.0087286058807823e-05,1.5239542488787878e+25,,0.7597637158469946,,,,computed_from_lacc,,,,,Manara et al. (2022) PPVII
Sz88B,young_stellar_objects,,3.377825941551911e+29,5.679821173508252e-07,1.9185447303251992e+23,,0.1698706010928961,,,,computed_from_lacc,,,,,Manara et al. (2022) PPVII
Sz90,young_stellar_objects,,1.6981672884240438e+30,3.6558760111622952e-06,6.208289052689984e+24,,0.8540069945355192,,,,computed_from_lacc,,,,"Alcala+14,17,19",Manara et al. (2022) PPVII
Sz91,young_stellar_objects,,1.2030612942513664e+30,3.181882767147009e-06,3.828e+24,,0.6050185792349728,,,,computed_from_lacc,,,,,Manara et al. (2022) PPVII
J16073773-3921388,young_stellar_objects,,1.5500982060546447e+29,5.923968157719998e-07,9.182732414006608e+22,,0.0779543169398907,,,,computed_from_lacc,,,,"Alcala+14,17,19",Manara et al. (2022) PPVII
Sz95,young_stellar_objects,,6.732516088983607e+29,1.1344739530884567e-06,7.637864141700869e+23,,0.3385777049180328,,,,computed_from_lacc,,,,"Alcala+14,17,19",Manara et al. (2022) PPVII
J16080017-3902595,young_stellar_objects,,1.7814561472568298e+29,2.768195720941516e-07,4.931419283881316e+22,,0.0895892896174863,,,,computed_from_lacc,,,,"Alcala+14,17,19",Manara et al. (2022) PPVII
Sz96,young_stellar_objects,,1.0711872677661204e+30,1.1043494701287728e-06,1.182965091566203e+24,,0.5386992349726777,,,,computed_from_lacc,,,,"Alcala+14,17,19",Manara et al. (2022) PPVII
J16081497-3857145,young_stellar_objects,,1.503826617814208e+29,6.394022519560581e-07,9.61550125981867e+22,,0.0756273224043716,,,,computed_from_lacc,,,,"Alcala+14,17,19",Manara et al. (2022) PPVII
Sz97,young_stellar_objects,,4.5114798534426234e+29,6.58647286252904e-07,2.9714739624546327e+23,,0.2268819672131148,,,,computed_from_lacc,,,,"Alcala+14,17,19",Manara et al. (2022) PPVII
Sz98,young_stellar_objects,,1.4783772442819673e+30,5.048782478723142e-05,7.4640051278737985e+25,,0.7434747540983607,,,,computed_from_lacc,,,,"Alcala+14,17,19",Manara et al. (2022) PPVII
Sz99,young_stellar_objects,,4.256986118120217e+29,1.4251799212867e-06,6.066971140741145e+23,,0.2140834972677595,,,,computed_from_lacc,,,,,Manara et al. (2022) PPVII
Sz100,young_stellar_objects,,3.007653235628416e+29,5.953113542603229e-07,1.7904901208473945e+23,,0.1512546448087432,,,,computed_from_lacc,,,,"Alcala+14,17,19",Manara et al. (2022) PPVII
J160828.1-391310,young_stellar_objects,,1.6195055884153006e+29,2.3098803169177765e-08,3.740864081818845e+21,,0.0814448087431694,,,,computed_from_lacc,,,,,Manara et al. (2022) PPVII
Sz103,young_stellar_objects,,4.465208265202186e+29,2.1534272734271394e-06,9.61550125981867e+23,,0.2245549726775956,,,,computed_from_lacc,,,,"Alcala+14,17,19",Manara et al. (2022) PPVII
J16083070-3828268,young_stellar_objects,,3.23669759741858e+30,1.129457266012636e-06,3.6557116192900566e+24,,1.627732677595629,,,,computed_from_lacc,,,,"Alcala+14,17,19",Manara et al. (2022) PPVII
Sz104,young_stellar_objects,,2.4986657649836068e+29,6.687499501664317e-07,1.6709826058153558e+23,,0.1256577049180328,,,,computed_from_lacc,,,,"Alcala+14,17,19",Manara et al. (2022) PPVII
V1094Sco,young_stellar_objects,,1.6981672884240438e+30,2.103737062775646e-05,3.5724974634508814e+25,,0.8540069945355192,,,,computed_from_lacc,,,,,Manara et al. (2022) PPVII
Sz106,young_stellar_objects,,1.274782256024044e+30,6.273875833394414e-07,7.99782558890926e+23,,0.6410869945355192,,,,computed_from_lacc,,,,,Manara et al. (2022) PPVII
Sz108B,young_stellar_objects,,2.868838470907104e+29,1.1892299360086397e-06,3.411708591175979e+23,,0.1442736612021858,,,,computed_from_lacc,,,,,Manara et al. (2022) PPVII
J16084940-3905393,young_stellar_objects,,4.3726650887213124e+29,6.953856334361363e-07,3.040688482524549e+23,,0.2199009836065574,,,,computed_from_lacc,,,,"Alcala+14,17,19",Manara et al. (2022) PPVII
Sz110,young_stellar_objects,,4.3726650887213124e+29,5.523644426599524e-06,2.415304714670179e+24,,0.2199009836065574,,,,computed_from_lacc,,,,"Alcala+14,17,19",Manara et al. (2022) PPVII
J16085324-3914401,young_stellar_objects,,6.732516088983607e+29,3.1973820253486183e-07,2.1526425928286563e+23,,0.3385777049180328,,,,computed_from_lacc,,,,"Alcala+14,17,19",Manara et al. (2022) PPVII
J16085373-3914367,young_stellar_objects,,1.5732340001748638e+29,4.854881181599129e-07,7.637864141700867e+22,,0.0791178142076503,,,,computed_from_lacc,,,,"Alcala+14,17,19",Manara et al. (2022) PPVII
Sz111,young_stellar_objects,,1.2030612942513664e+30,1.2667303454618286e-06,1.523954248878788e+24,,0.6050185792349728,,,,computed_from_lacc,,,,"Alcala+14,17,19",Manara et al. (2022) PPVII
J16085529-3848481,young_stellar_objects,,1.642641382535518e+29,1.1413771383553186e-07,1.8748733205424137e+22,,0.0826083060109289,,,,computed_from_lacc,,,,,Manara et al. (2022) PPVII
Sz112,young_stellar_objects,,3.1464680003497275e+29,4.956197562666492e-07,1.559451703434143e+23,,0.1582356284153006,,,,computed_from_lacc,,,,"Alcala+14,17,19",Manara et al. (2022) PPVII
Sz113,young_stellar_objects,,3.1464680003497275e+29,6.384819288207716e-06,2.0089629578361304e+24,,0.1582356284153006,,,,computed_from_lacc,,,,"Alcala+14,17,19",Manara et al. (2022) PPVII
J16090141-3925119,young_stellar_objects,,4.5808872358032776e+29,5.6496602002618e-07,2.5880456298005065e+23,,0.2303724590163934,,,,computed_from_lacc,,,,"Alcala+14,17,19",Manara et al. (2022) PPVII
Sz115,young_stellar_objects,,3.5397765003934425e+29,1.3304424316468406e-06,4.709468854669795e+23,,0.1780150819672131,,,,computed_from_lacc,,,,,Manara et al. (2022) PPVII
